Type: car
Length, m: 4.80
Width, m: 1.60
Height, m: 1.26
Weight, kg: 1300
Frames: 46-136
X, m; Y, m; V, m/s; A, m/s2; J, m/s3; DirX; DirY; Xpxl, m; Ypxl, m; Dxpxl; Dypxl
-9.930;1.037;6.939;0.000;NoValue;0.99977;0.02148;-9.93040;1.03691;1.00000;0.00000
-9.653;1.043;6.939;1.120;NoValue;0.99977;0.02148;NoValue;NoValue;NoValue;NoValue
-9.375;1.049;6.939;1.698;NoValue;0.99977;0.02148;NoValue;NoValue;NoValue;NoValue
-9.098;1.055;7.073;1.800;NoValue;0.99977;0.02148;NoValue;NoValue;NoValue;NoValue
-8.820;1.061;7.197;1.847;NoValue;0.99977;0.02148;NoValue;NoValue;NoValue;NoValue
-8.543;1.067;7.279;1.889;NoValue;0.99977;0.02148;NoValue;NoValue;NoValue;NoValue
-8.252;1.070;7.361;1.919;NoValue;0.99977;0.02148;NoValue;NoValue;NoValue;NoValue
-7.950;1.070;7.443;1.876;NoValue;0.99977;0.02148;NoValue;NoValue;NoValue;NoValue
-7.641;1.069;7.526;1.836;NoValue;0.99981;0.01961;NoValue;NoValue;NoValue;NoValue
-7.340;1.070;7.604;1.942;NoValue;0.99981;0.01961;NoValue;NoValue;NoValue;NoValue
-7.036;1.070;7.687;2.048;NoValue;0.99987;0.01616;-7.15543;1.09653;1.00000;0.00000
-6.728;1.070;7.770;1.957;NoValue;0.99993;0.01180;NoValue;NoValue;NoValue;NoValue
-6.417;1.068;7.854;1.883;NoValue;0.99999;0.00535;NoValue;NoValue;NoValue;NoValue
-6.103;1.066;7.937;1.872;NoValue;1.00000;0.00165;NoValue;NoValue;NoValue;NoValue
-5.786;1.064;8.006;1.861;NoValue;1.00000;-0.00078;NoValue;NoValue;NoValue;NoValue
-5.465;1.060;8.064;1.850;NoValue;1.00000;-0.00219;NoValue;NoValue;NoValue;NoValue
-5.141;1.056;8.117;1.840;NoValue;1.00000;-0.00310;NoValue;NoValue;NoValue;NoValue
-4.813;1.051;8.188;1.837;NoValue;0.99999;-0.00540;NoValue;NoValue;NoValue;NoValue
-4.483;1.045;8.259;1.827;NoValue;0.99997;-0.00765;NoValue;NoValue;NoValue;NoValue
-4.149;1.039;8.332;1.826;NoValue;0.99995;-0.00985;NoValue;NoValue;NoValue;NoValue
-3.814;1.032;8.404;1.832;NoValue;0.99993;-0.01201;NoValue;NoValue;NoValue;NoValue
-3.480;1.026;8.478;1.847;NoValue;0.99990;-0.01412;NoValue;NoValue;NoValue;NoValue
-3.146;1.019;8.551;1.874;NoValue;0.99987;-0.01585;NoValue;NoValue;NoValue;NoValue
-2.808;1.013;8.626;1.910;NoValue;0.99985;-0.01721;NoValue;NoValue;NoValue;NoValue
-2.467;1.005;8.701;1.945;NoValue;0.99983;-0.01822;NoValue;NoValue;NoValue;NoValue
-2.122;0.997;8.777;1.951;NoValue;0.99982;-0.01911;NoValue;NoValue;NoValue;NoValue
-1.773;0.989;8.853;1.954;NoValue;0.99980;-0.01989;NoValue;NoValue;NoValue;NoValue
-1.420;0.979;8.930;1.953;NoValue;0.99979;-0.02056;NoValue;NoValue;NoValue;NoValue
-1.064;0.970;9.012;1.948;NoValue;0.99976;-0.02187;NoValue;NoValue;NoValue;NoValue
-0.704;0.960;9.100;1.940;NoValue;0.99973;-0.02315;NoValue;NoValue;NoValue;NoValue
-0.340;0.949;9.193;1.928;NoValue;0.99970;-0.02441;-0.47350;0.96810;0.99939;-0.03490
0.028;0.938;9.281;1.913;NoValue;0.99967;-0.02564;NoValue;NoValue;NoValue;NoValue
0.399;0.926;9.363;1.894;NoValue;0.99964;-0.02684;NoValue;NoValue;NoValue;NoValue
0.774;0.914;9.440;1.872;NoValue;0.99961;-0.02802;NoValue;NoValue;NoValue;NoValue
1.153;0.901;9.515;1.846;NoValue;0.99957;-0.02918;NoValue;NoValue;NoValue;NoValue
1.535;0.888;9.588;1.817;NoValue;0.99954;-0.03031;NoValue;NoValue;NoValue;NoValue
1.921;0.874;9.659;1.777;NoValue;0.99951;-0.03142;NoValue;NoValue;NoValue;NoValue
2.311;0.860;9.729;1.726;NoValue;0.99947;-0.03250;NoValue;NoValue;NoValue;NoValue
2.705;0.845;9.797;1.665;NoValue;0.99944;-0.03357;NoValue;NoValue;NoValue;NoValue
3.102;0.830;9.863;1.617;NoValue;0.99940;-0.03461;NoValue;NoValue;NoValue;NoValue
3.499;0.815;9.927;1.582;NoValue;0.99936;-0.03564;NoValue;NoValue;NoValue;NoValue
3.896;0.799;9.989;1.561;NoValue;0.99933;-0.03664;NoValue;NoValue;NoValue;NoValue
4.294;0.784;10.050;1.537;NoValue;0.99930;-0.03743;NoValue;NoValue;NoValue;NoValue
4.694;0.769;10.108;1.511;NoValue;0.99928;-0.03802;NoValue;NoValue;NoValue;NoValue
5.096;0.754;10.165;1.482;NoValue;0.99926;-0.03840;NoValue;NoValue;NoValue;NoValue
5.501;0.738;10.220;1.454;NoValue;0.99926;-0.03848;NoValue;NoValue;NoValue;NoValue
5.908;0.723;10.274;1.427;NoValue;0.99927;-0.03825;NoValue;NoValue;NoValue;NoValue
6.318;0.709;10.325;1.402;NoValue;0.99928;-0.03791;NoValue;NoValue;NoValue;NoValue
6.730;0.694;10.380;1.378;NoValue;0.99930;-0.03746;NoValue;NoValue;NoValue;NoValue
7.145;0.679;10.439;1.356;NoValue;0.99931;-0.03702;NoValue;NoValue;NoValue;NoValue
7.562;0.664;10.501;1.335;NoValue;0.99933;-0.03658;7.47192;0.66123;0.99939;-0.03490
7.982;0.650;10.560;1.315;NoValue;0.99935;-0.03615;NoValue;NoValue;NoValue;NoValue
8.404;0.635;10.615;1.297;NoValue;0.99936;-0.03572;NoValue;NoValue;NoValue;NoValue
8.829;0.621;10.667;1.281;NoValue;0.99938;-0.03530;NoValue;NoValue;NoValue;NoValue
9.256;0.607;10.717;1.265;NoValue;0.99939;-0.03488;NoValue;NoValue;NoValue;NoValue
9.686;0.592;10.767;1.251;NoValue;0.99941;-0.03447;NoValue;NoValue;NoValue;NoValue
10.118;0.578;10.816;1.231;NoValue;0.99942;-0.03407;NoValue;NoValue;NoValue;NoValue
10.553;0.564;10.864;1.203;NoValue;0.99943;-0.03366;NoValue;NoValue;NoValue;NoValue
10.991;0.550;10.911;1.169;NoValue;0.99945;-0.03327;NoValue;NoValue;NoValue;NoValue
11.430;0.536;10.957;1.145;NoValue;0.99946;-0.03287;NoValue;NoValue;NoValue;NoValue
11.870;0.522;11.003;1.130;NoValue;0.99947;-0.03249;NoValue;NoValue;NoValue;NoValue
12.310;0.509;11.047;1.124;NoValue;0.99948;-0.03210;NoValue;NoValue;NoValue;NoValue
12.750;0.495;11.091;1.116;NoValue;0.99949;-0.03182;NoValue;NoValue;NoValue;NoValue
13.192;0.481;11.134;1.105;NoValue;0.99950;-0.03163;NoValue;NoValue;NoValue;NoValue
13.635;0.466;11.176;1.091;NoValue;0.99950;-0.03153;NoValue;NoValue;NoValue;NoValue
14.081;0.452;11.217;1.074;NoValue;0.99950;-0.03161;NoValue;NoValue;NoValue;NoValue
14.528;0.437;11.257;1.055;NoValue;0.99950;-0.03175;NoValue;NoValue;NoValue;NoValue
14.978;0.422;11.297;1.032;NoValue;0.99949;-0.03197;NoValue;NoValue;NoValue;NoValue
15.429;0.407;11.339;1.007;NoValue;0.99948;-0.03226;NoValue;NoValue;NoValue;NoValue
15.882;0.392;11.384;0.978;NoValue;0.99947;-0.03255;NoValue;NoValue;NoValue;NoValue
16.337;0.377;11.431;0.947;NoValue;0.99946;-0.03284;16.26859;0.38370;0.99939;-0.03490
16.794;0.361;11.476;0.913;NoValue;0.99945;-0.03312;NoValue;NoValue;NoValue;NoValue
17.253;0.345;11.519;0.876;NoValue;0.99944;-0.03340;NoValue;NoValue;NoValue;NoValue
17.714;0.330;11.558;0.837;NoValue;0.99943;-0.03368;NoValue;NoValue;NoValue;NoValue
18.177;0.313;11.595;0.805;NoValue;0.99942;-0.03395;NoValue;NoValue;NoValue;NoValue
18.641;0.297;11.628;0.761;NoValue;0.99941;-0.03422;NoValue;NoValue;NoValue;NoValue
19.108;0.280;11.659;0.699;NoValue;0.99940;-0.03450;NoValue;NoValue;NoValue;NoValue
19.576;0.264;11.687;0.633;NoValue;0.99940;-0.03476;NoValue;NoValue;NoValue;NoValue
20.047;0.247;11.713;0.562;NoValue;0.99939;-0.03503;NoValue;NoValue;NoValue;NoValue
20.519;0.230;11.735;0.496;NoValue;0.99938;-0.03530;NoValue;NoValue;NoValue;NoValue
20.991;0.213;11.755;0.434;NoValue;0.99937;-0.03556;NoValue;NoValue;NoValue;NoValue
21.463;0.196;11.772;0.376;NoValue;0.99936;-0.03582;NoValue;NoValue;NoValue;NoValue
21.936;0.178;11.786;0.323;NoValue;0.99935;-0.03601;NoValue;NoValue;NoValue;NoValue
22.408;0.161;11.804;0.258;NoValue;0.99935;-0.03614;NoValue;NoValue;NoValue;NoValue
22.880;0.144;11.814;0.195;NoValue;0.99934;-0.03620;NoValue;NoValue;NoValue;NoValue
23.352;0.127;11.814;0.134;NoValue;0.99934;-0.03620;NoValue;NoValue;NoValue;NoValue
23.825;0.110;11.814;0.078;NoValue;0.99934;-0.03620;NoValue;NoValue;NoValue;NoValue
24.297;0.093;11.814;0.000;NoValue;0.99934;-0.03620;NoValue;NoValue;NoValue;NoValue
24.769;0.076;11.814;0.000;NoValue;0.99934;-0.03620;NoValue;NoValue;NoValue;NoValue
25.241;0.059;11.814;0.000;NoValue;0.99934;-0.03620;NoValue;NoValue;NoValue;NoValue
25.714;0.042;11.814;0.000;NoValue;0.99934;-0.03620;25.71352;0.04154;0.99939;-0.03490

Type: car
Length, m: 4.30
Width, m: 1.60
Height, m: 1.20
Weight, kg: 1300
Frames: 76-196
X, m; Y, m; V, m/s; A, m/s2; J, m/s3; DirX; DirY; Xpxl, m; Ypxl, m; Dxpxl; Dypxl
20.559;-7.644;5.775;0.000;NoValue;-0.99894;0.04602;20.55920;-7.64441;-0.99939;0.03490
20.328;-7.634;5.775;0.369;NoValue;-0.99894;0.04602;NoValue;NoValue;NoValue;NoValue
20.098;-7.623;5.775;0.508;NoValue;-0.99894;0.04602;NoValue;NoValue;NoValue;NoValue
19.867;-7.613;5.819;0.553;NoValue;-0.99894;0.04602;NoValue;NoValue;NoValue;NoValue
19.636;-7.602;5.847;0.543;NoValue;-0.99894;0.04602;NoValue;NoValue;NoValue;NoValue
19.406;-7.591;5.876;0.530;NoValue;-0.99894;0.04602;NoValue;NoValue;NoValue;NoValue
19.171;-7.579;5.906;0.492;NoValue;-0.99894;0.04602;NoValue;NoValue;NoValue;NoValue
18.932;-7.564;5.929;0.421;NoValue;-0.99894;0.04602;NoValue;NoValue;NoValue;NoValue
18.695;-7.551;5.950;0.417;NoValue;-0.99888;0.04734;NoValue;NoValue;NoValue;NoValue
18.457;-7.536;5.970;0.409;NoValue;-0.99888;0.04734;NoValue;NoValue;NoValue;NoValue
18.218;-7.522;5.990;0.326;NoValue;-0.99879;0.04927;18.25183;-7.53811;-0.99756;0.06976
17.977;-7.506;6.008;0.267;NoValue;-0.99871;0.05087;NoValue;NoValue;NoValue;NoValue
17.736;-7.490;6.024;0.203;NoValue;-0.99861;0.05278;NoValue;NoValue;NoValue;NoValue
17.493;-7.474;6.030;0.143;NoValue;-0.99849;0.05499;NoValue;NoValue;NoValue;NoValue
17.250;-7.456;6.028;0.099;NoValue;-0.99824;0.05933;NoValue;NoValue;NoValue;NoValue
17.008;-7.435;6.027;0.064;NoValue;-0.99812;0.06130;NoValue;NoValue;NoValue;NoValue
16.766;-7.413;6.025;0.034;NoValue;-0.99804;0.06253;NoValue;NoValue;NoValue;NoValue
16.524;-7.389;6.020;0.009;NoValue;-0.99785;0.06558;NoValue;NoValue;NoValue;NoValue
16.282;-7.363;6.014;-0.011;NoValue;-0.99758;0.06956;NoValue;NoValue;NoValue;NoValue
16.042;-7.336;6.007;-0.025;NoValue;-0.99722;0.07447;NoValue;NoValue;NoValue;NoValue
15.803;-7.308;5.998;-0.023;NoValue;-0.99677;0.08031;15.76259;-7.34391;-0.99452;0.10453
15.566;-7.278;5.992;-0.005;NoValue;-0.99620;0.08710;NoValue;NoValue;NoValue;NoValue
15.330;-7.247;5.989;0.014;NoValue;-0.99552;0.09452;NoValue;NoValue;NoValue;NoValue
15.096;-7.215;5.988;0.028;NoValue;-0.99482;0.10164;NoValue;NoValue;NoValue;NoValue
14.862;-7.179;5.991;0.038;NoValue;-0.99410;0.10848;NoValue;NoValue;NoValue;NoValue
14.628;-7.140;5.996;0.044;NoValue;-0.99336;0.11504;NoValue;NoValue;NoValue;NoValue
14.394;-7.097;6.002;0.045;NoValue;-0.99300;0.11808;NoValue;NoValue;NoValue;NoValue
14.161;-7.051;6.008;0.041;NoValue;-0.99209;0.12554;NoValue;NoValue;NoValue;NoValue
13.928;-7.001;6.016;0.020;NoValue;-0.99098;0.13398;NoValue;NoValue;NoValue;NoValue
13.694;-6.950;6.025;-0.019;NoValue;-0.98963;0.14364;NoValue;NoValue;NoValue;NoValue
13.459;-6.896;6.035;-0.074;NoValue;-0.98799;0.15449;13.49105;-6.95612;-0.98481;0.17365
13.223;-6.840;6.041;-0.146;NoValue;-0.98604;0.16650;NoValue;NoValue;NoValue;NoValue
12.985;-6.782;6.043;-0.234;NoValue;-0.98261;0.18568;NoValue;NoValue;NoValue;NoValue
12.746;-6.722;6.041;-0.323;NoValue;-0.98026;0.19770;NoValue;NoValue;NoValue;NoValue
12.510;-6.658;6.034;-0.412;NoValue;-0.97801;0.20855;NoValue;NoValue;NoValue;NoValue
12.274;-6.591;6.023;-0.502;NoValue;-0.97590;0.21822;NoValue;NoValue;NoValue;NoValue
12.041;-6.521;6.004;-0.594;NoValue;-0.97396;0.22671;NoValue;NoValue;NoValue;NoValue
11.809;-6.447;5.977;-0.687;NoValue;-0.97193;0.23527;NoValue;NoValue;NoValue;NoValue
11.579;-6.370;5.944;-0.763;NoValue;-0.96953;0.24498;NoValue;NoValue;NoValue;NoValue
11.352;-6.291;5.903;-0.822;NoValue;-0.96671;0.25587;NoValue;NoValue;NoValue;NoValue
11.127;-6.212;5.855;-0.863;NoValue;-0.96343;0.26798;11.04727;-6.24633;-0.96126;0.27564
10.906;-6.131;5.808;-0.887;NoValue;-0.95961;0.28134;NoValue;NoValue;NoValue;NoValue
10.687;-6.049;5.761;-0.893;NoValue;-0.95553;0.29488;NoValue;NoValue;NoValue;NoValue
10.471;-5.965;5.715;-0.873;NoValue;-0.95159;0.30736;NoValue;NoValue;NoValue;NoValue
10.260;-5.878;5.669;-0.828;NoValue;-0.94996;0.31237;NoValue;NoValue;NoValue;NoValue
10.053;-5.788;5.623;-0.758;NoValue;-0.94626;0.32341;NoValue;NoValue;NoValue;NoValue
9.851;-5.694;5.584;-0.663;NoValue;-0.94271;0.33362;NoValue;NoValue;NoValue;NoValue
9.654;-5.597;5.550;-0.546;NoValue;-0.93876;0.34456;NoValue;NoValue;NoValue;NoValue
9.461;-5.496;5.523;-0.427;NoValue;-0.93437;0.35630;NoValue;NoValue;NoValue;NoValue
9.270;-5.393;5.502;-0.306;NoValue;-0.92911;0.36981;NoValue;NoValue;NoValue;NoValue
9.081;-5.288;5.487;-0.183;NoValue;-0.92286;0.38513;9.03174;-5.35051;-0.89879;0.43837
8.894;-5.180;5.480;-0.058;NoValue;-0.91551;0.40229;NoValue;NoValue;NoValue;NoValue
8.708;-5.070;5.481;0.069;NoValue;-0.90753;0.41998;NoValue;NoValue;NoValue;NoValue
8.524;-4.958;5.489;0.179;NoValue;-0.89891;0.43813;NoValue;NoValue;NoValue;NoValue
8.341;-4.842;5.505;0.272;NoValue;-0.89047;0.45504;NoValue;NoValue;NoValue;NoValue
8.160;-4.722;5.528;0.348;NoValue;-0.88233;0.47063;NoValue;NoValue;NoValue;NoValue
7.979;-4.597;5.552;0.405;NoValue;-0.87460;0.48484;NoValue;NoValue;NoValue;NoValue
7.800;-4.468;5.578;0.445;NoValue;-0.86692;0.49845;NoValue;NoValue;NoValue;NoValue
7.622;-4.334;5.605;0.466;NoValue;-0.85937;0.51136;NoValue;NoValue;NoValue;NoValue
7.443;-4.199;5.634;0.467;NoValue;-0.85114;0.52493;NoValue;NoValue;NoValue;NoValue
7.264;-4.062;5.665;0.449;NoValue;-0.84225;0.53908;7.28117;-4.11829;-0.84805;0.52992
7.084;-3.922;5.691;0.414;NoValue;-0.83269;0.55373;NoValue;NoValue;NoValue;NoValue
6.903;-3.781;5.713;0.362;NoValue;-0.82354;0.56727;NoValue;NoValue;NoValue;NoValue
6.722;-3.637;5.731;0.308;NoValue;-0.81485;0.57967;NoValue;NoValue;NoValue;NoValue
6.542;-3.491;5.745;0.252;NoValue;-0.80720;0.59028;NoValue;NoValue;NoValue;NoValue
6.366;-3.341;5.754;0.194;NoValue;-0.80061;0.59919;NoValue;NoValue;NoValue;NoValue
6.191;-3.187;5.759;0.133;NoValue;-0.79511;0.60646;NoValue;NoValue;NoValue;NoValue
